epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2104.3,0.9723,4.22043,1.3452,0.05141,0.75659,0.18876,0.15961,0.69877,3.39076,1.13234,6.64052e-05,6.64052e-05,6.64052e-05
2,2545.81,0.72936,1.17654,1.14289,0.70057,0.49423,0.74634,0.61384,0.67094,1.76956,1.09362,0.000133039,0.000133039,0.000133039
3,3560.15,0.62819,0.71612,1.07519,0.88923,0.75547,0.84338,0.68563,0.66321,0.78144,1.07162,0.000199543,0.000199543,0.000199543
4,4809.87,0.5711,0.56554,1.03718,0.89216,0.91148,0.91805,0.75195,0.64917,0.74094,1.0689,0.000199561,0.000199561,0.000199561
5,5665.41,0.5367,0.50278,1.01459,0.92651,0.93291,0.94106,0.77642,0.6394,0.57578,1.06683,0.000199219,0.000199219,0.000199219
6,6133.62,0.52491,0.47322,1.00794,0.94388,0.92504,0.9409,0.77194,0.65042,0.5324,1.0708,0.000198781,0.000198781,0.000198781
7,6552.09,0.49806,0.4383,0.99331,0.9329,0.93467,0.94247,0.77696,0.65289,0.53272,1.07238,0.000198246,0.000198246,0.000198246
8,6929.58,0.48973,0.42169,0.99003,0.9376,0.94264,0.95268,0.78384,0.66451,0.5043,1.06595,0.000197616,0.000197616,0.000197616
9,7223.13,0.48366,0.40975,0.98544,0.94244,0.95806,0.96312,0.79349,0.66676,0.47221,1.06472,0.00019689,0.00019689,0.00019689
10,7576.83,0.46504,0.38628,0.97646,0.94263,0.96268,0.9616,0.7942,0.65508,0.41597,1.04686,0.000196069,0.000196069,0.000196069
11,7835.78,0.45933,0.38045,0.9737,0.94613,0.95289,0.95653,0.78648,0.66319,0.45147,1.05409,0.000195155,0.000195155,0.000195155
12,8089.17,0.44168,0.36081,0.962,0.93251,0.94904,0.95784,0.78813,0.64734,0.47733,1.0463,0.000194147,0.000194147,0.000194147
13,9204.72,0.43663,0.3542,0.95915,0.95147,0.96538,0.96371,0.79884,0.64562,0.39479,1.04169,0.000193048,0.000193048,0.000193048
14,9642.49,0.43059,0.35107,0.96069,0.94547,0.96825,0.96419,0.7957,0.64847,0.38457,1.03783,0.000191858,0.000191858,0.000191858
15,10023.4,0.43126,0.34387,0.95782,0.93817,0.9596,0.96026,0.7957,0.64872,0.43092,1.03869,0.000190578,0.000190578,0.000190578
16,10873.2,0.42119,0.33569,0.95135,0.94978,0.95984,0.96077,0.79523,0.64546,0.42357,1.0348,0.00018921,0.00018921,0.00018921
17,11964,0.42339,0.33204,0.95593,0.95164,0.97084,0.96163,0.79811,0.6422,0.38271,1.03698,0.000187754,0.000187754,0.000187754
18,12209.4,0.41425,0.32698,0.94738,0.94821,0.96354,0.96102,0.79999,0.64109,0.39455,1.04125,0.000186213,0.000186213,0.000186213
19,12506,0.41125,0.327,0.94759,0.93431,0.97833,0.96139,0.79829,0.64125,0.39638,1.03714,0.000184588,0.000184588,0.000184588
20,13262,0.41224,0.31943,0.94522,0.95528,0.95769,0.96219,0.80278,0.6355,0.37055,1.03686,0.000182881,0.000182881,0.000182881
21,14387.6,0.39787,0.31021,0.94067,0.96304,0.9616,0.96716,0.80905,0.64597,0.36303,1.0359,0.000181093,0.000181093,0.000181093
22,14753.1,0.39995,0.3092,0.94461,0.94167,0.96929,0.96547,0.80482,0.62034,0.40398,1.02882,0.000179225,0.000179225,0.000179225
23,15134.9,0.39681,0.30471,0.9389,0.92584,0.96916,0.96273,0.79975,0.62414,0.44212,1.03055,0.000177281,0.000177281,0.000177281
24,15373.7,0.38809,0.2988,0.93548,0.94886,0.96963,0.96309,0.80769,0.61679,0.36953,1.02521,0.000175261,0.000175261,0.000175261
25,16426.7,0.39187,0.30215,0.93861,0.96352,0.95278,0.96214,0.80256,0.62442,0.43213,1.02672,0.000173168,0.000173168,0.000173168
26,17135.2,0.38903,0.29481,0.93378,0.96684,0.96173,0.96537,0.80603,0.61793,0.40041,1.02252,0.000171004,0.000171004,0.000171004
27,17436.8,0.39427,0.29763,0.93781,0.95986,0.97209,0.96372,0.80501,0.6157,0.36797,1.02452,0.00016877,0.00016877,0.00016877
28,17820.2,0.38423,0.29169,0.93554,0.95198,0.97409,0.96541,0.8078,0.62471,0.39353,1.0227,0.00016647,0.00016647,0.00016647
29,18649.8,0.38224,0.28826,0.93574,0.96405,0.96978,0.9659,0.80741,0.62528,0.35376,1.02244,0.000164105,0.000164105,0.000164105
30,19483.7,0.38759,0.29169,0.93829,0.94916,0.96368,0.96249,0.81164,0.61362,0.3887,1.02486,0.000161678,0.000161678,0.000161678
31,19849.3,0.378,0.28461,0.93245,0.95816,0.95898,0.96164,0.79485,0.63938,0.34671,1.02594,0.000159191,0.000159191,0.000159191
32,20806,0.3704,0.27901,0.92643,0.95759,0.96077,0.96262,0.80053,0.62145,0.37604,1.02432,0.000156646,0.000156646,0.000156646
33,21281.9,0.37109,0.28161,0.92599,0.96314,0.95745,0.96251,0.80988,0.62031,0.36088,1.02359,0.000154047,0.000154047,0.000154047
34,22861.9,0.36889,0.27853,0.92863,0.95645,0.95823,0.96481,0.81234,0.61216,0.40287,1.02386,0.000151395,0.000151395,0.000151395
35,23929.3,0.36659,0.2746,0.92651,0.93997,0.97392,0.96524,0.80919,0.61802,0.40092,1.02442,0.000148694,0.000148694,0.000148694
36,25122.3,0.36519,0.27508,0.92554,0.9348,0.97552,0.96355,0.81124,0.6117,0.36843,1.02181,0.000145945,0.000145945,0.000145945
